행정구역(시군구)별,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
총계,0.0054,0.0049,0.0046,0.0044,0.004,0.0037,0.0031,0.003,0.0026,0.0025
서울특별시,0.0056,0.0056,0.0049,0.0046,0.0044,0.0042,0.0031,0.0031,0.003,0.0028
부산광역시,0.0068,0.0066,0.0056,0.0048,0.0049,0.0047,0.0035,0.003,0.003,0.0027
대구광역시,0.0039,0.0034,0.0035,0.0034,0.0028,0.0028,0.0023,0.0019,0.0018,0.002
인천광역시,0.0071,0.0063,0.0062,0.0054,0.0048,0.0048,0.0038,0.0033,0.0034,0.0032
광주광역시,0.0039,0.0031,0.0028,0.0025,0.0026,0.0027,0.0028,0.0029,0.0029,0.0026
대전광역시,0.0041,0.0035,0.0032,0.0028,0.0024,0.0026,0.0023,0.0032,0.0032,0.0026
울산광역시,0.0076,0.0075,0.0066,0.0058,0.0057,0.0052,0.0039,0.0033,0.0033,0.0034
세종특별자치시,,,0.0037,0.0033,0.0027,0.0033,0.0033,0.0033,0.0029,0.0027
경기도평균,0.0055,0.005,0.0047,0.0045,0.0038,0.0038,0.0032,0.0031,0.0022,0.0024
강원도평균,0.0046,0.0041,0.0035,0.0032,0.0026,0.0025,0.0025,0.0024,0.0023,0.0021
충청북도평균,0.0038,0.0039,0.0035,0.0033,0.0036,0.0033,0.003,0.0022,0.0021,0.002
충청남도평균,0.0044,0.0039,0.0036,0.0037,0.0038,0.0038,0.0033,0.0038,0.0032,0.003
전라북도평균,0.0044,0.0041,0.0043,0.004,0.0038,0.0034,0.003,0.0027,0.0024,0.0021
전라남도평균,0.0055,0.0055,0.0055,0.0053,0.0049,0.0043,0.0031,0.003,0.003,0.0026
경상북도평균,0.0053,0.0059,0.0048,0.0043,0.0038,0.0035,0.0034,0.0032,0.0028,0.0027
경상남도평균,0.0044,0.0043,0.0043,0.0044,0.004,0.0035,0.003,0.003,0.003,0.0028
제주도평균,0.0023,0.0031,0.003,0.002,0.0026,0.0022,0.0011,0.0013,0.0012,0.0015
