구분,항목,단위,2014.01 월,2014.02 월,2014.03 월,2014.04 월,2014.05 월,2014.06 월,2014.07 월,2014.08 월,2014.09 월,2014.10 월,2014.11 월,2014.12 월,2015.01 월,2015.02 월,2015.03 월,2015.04 월,2015.05 월,2015.06 월,2015.07 월,2015.08 월,2015.09 월,2015.10 월,2015.11 월,2015.12 월,2016.01 월,2016.02 월,2016.03 월,2016.04 월,2016.05 월,2016.06 월,2016.07 월,2016.08 월,2016.09 월,2016.10 월,2016.11 월,2016.12 월,2017.01 월,2017.02 월,2017.03 월,2017.04 월,2017.05 월,2017.06 월,2017.07 월,2017.08 월,2017.09 월,2017.10 월,2017.11 월,2017.12 월,2018.01 월,2018.02 월,2018.03 월,2018.04 월,2018.05 월,2018.06 월,2018.07 월,2018.08 월,2018.09 월,2018.10 월,2018.11 월,2018.12 월,2019.01 월,2019.02 월,2019.03 월,2019.04 월,2019.05 월,2019.06 월,2019.07 월,2019.08 월,2019.09 월,2019.10 월,2019.11 월,2019.12 월,2020.01 월,2020.02 월,2020.03 월,2020.04 월,2020.05 월,2020.06 월,2020.07 월,2020.08 월,2020.09 월,2020.10 월,2020.11 월,2020.12 월,2021.01 월,2021.02 월,2021.03 월,2021.04 월,2021.05 월,2021.06 월,2021.07 월,2021.08 월,2021.09 월,2021.10 월,2021.11 월,2021.12 월,2022.01 월,2022.02 월,2022.03 월,2022.04 월,2022.05 월,2022.06 월,2022.07 월,2022.08 월,2022.09 월,2022.10 월,2022.11 월,2022.12 월,2023.01 월,2023.02 월,2023.03 월,2023.04 월,2023.05 월,2023.06 월,2023.07 월,2023.08 월,2023.09 월,2023.10 월,2023.11 월,2023.12 월,Unnamed: 123
총계,월평균,,.015,0.021,0.029,0.035,0.045,0.039,0.033,0.027,0.027,0.021,.016,.015,0.015,0.022,.027,.033,0.04,0.04,.03,0.031,.029,.025,.016,.013,.018,.023,.028,.035,.043,.039,.027,.033,.028,.021,.017,.014,.027,0.024,0.027,0.04,0.043,0.043,.031,.027,.031,.024,.018,.016,.018,.024,.031,.037,.039,.04,0.026,.029,.029,.023,.016,.016,.019,.025,0.036,.036,0.05,.042,.032,.032,0.026,.025,.019,.017,.02,.025,.033,.042,.041,.045,.031,.023,.032,.028,.021,.02,.022,.029,.034,.043,.042,.044,.033,.032,.032,.027,.024,.02,.022,.033,.035,.044,.051,.039,.035,.03,.031,.027,.023,.02,0.0219,.0269,.0384,.0415,.0431,.0462,.0322,.0316,.0308,.0295,.0265,.0233,
서울특별시,월평균,,.009,0.016,0.025,0.028,0.041,0.037,0.033,0.025,0.023,0.017,.012,.012,0.011,0.016,.022,.028,0.033,0.038,.027,0.029,.025,.019,.012,.009,.014,.018,.025,.031,.039,.037,.025,.03,.027,.018,.014,.009,.035,0.018,0.038,0.035,0.039,0.041,.03,.024,.027,.02,.014,.011,.014,.018,.026,.031,.034,.035,0.024,.03,.027,.018,.011,.012,.012,.018,0.028,.029,0.043,.039,.031,.03,0.024,.021,.013,.011,.014,.018,.027,.036,.034,.044,.031,.019,.028,.022,.015,.014,.015,.022,.025,.037,.036,.041,.038,.034,.031,.022,.018,.014,.016,.026,.028,.043,.049,.036,.037,.03,.031,.023,.018,.015,0.0158,.022,.0334,.0381,.0419,.0483,.0371,.0346,.0326,.0264,.0228,.0176,
부산광역시,월평균,,.021,0.027,0.033,0.037,0.043,0.036,0.029,0.027,0.03,0.028,.02,.02,0.02,0.026,.032,.036,0.038,0.036,.028,0.033,.031,.028,.02,.018,.022,.027,.031,.038,.045,.036,.025,.036,.03,.025,.02,.018,.024,0.031,0.022,0.042,0.044,0.041,.028,.027,.033,.03,.023,.02,.021,.027,.034,.039,.039,.038,0.026,.025,.031,.028,.02,.019,.023,.029,0.039,.037,0.048,.038,.028,.03,0.028,.029,.023,.018,.023,.027,.034,.044,.041,.04,.028,.026,.035,.033,.023,.022,.025,.031,.036,.043,.041,.041,.028,.034,.036,.031,.027,.021,.024,.035,.037,.041,.05,.034,.031,.03,.034,.032,.027,.022,0.0236,.028,.0387,.0436,.0423,.0417,.0264,.0304,.0303,.034,.0278,.0253,
대구광역시,월평균,,.014,0.021,0.028,0.036,0.046,0.041,0.032,0.025,0.026,0.018,.012,.014,0.013,0.019,.027,.034,0.044,0.042,.03,0.031,.025,.023,.014,.011,.015,.022,.028,.035,.042,.037,.028,.033,.025,.018,0.013*,.012,.028,0.024,0.024,0.04,0.044,0.047,.031,.028,0.029*,0.020*,.016,.015,.017,.023,.03,.038,.041,.043,0.03,.026,.025,.02,.012,.013,.017,.024,0.036,.036,0.048,.044,.03,.03,0.025,.022,.017,.014,.018,.023,.03,.04,.04,.045,.027,.023,.028,.026,.017,.017,.02,.025,.032,.043,.04,.045,.031,.031,.029,.024,.019,.017,.021,.032,.036,.044,.055,.041,.035,.028,.029,.027,.02,.018,0.0193,.0245,.0381,.0417,.044,.0453,.0305,.0291,.0282,.0265,.0237,.0208,
인천광역시,월평균,,.014,0.021,0.03,0.034,0.043,0.035,0.033,0.026,0.025,0.019,.016,.014,0.015,0.02,.024,.029,0.036,0.039,.029,0.031,.028,.024,.014,.012,.017,.021,.026,.031,.041,.037,.025,.029,.029,.02,.017,.013,.027,0.023,0.03,0.035,0.038,0.037,.028,.025,.03,.024,.017,.014,.017,.022,.027,.032,.034,.034,0.021,.031,.029,.022,.016,.016,.017,.023,0.033,.033,0.046,.041,.032,.037,0.026,.024,.017,.015,.02,.023,.032,.041,.039,.044,.034,.021,.032,.028,.02,.019,.018,.026,.03,.04,.042,.044,.041,.036,.032,.026,.022,.017,.02,.029,.03,.041,.048,.036,.038,.032,.035,.027,.022,.019,0.0194,.0266,.0384,.0411,.0424,.0485,.0378,.0339,.0338,.0309,.0258,.0208,
광주광역시,월평균,,.017,0.024,0.031,0.04,0.048,0.043,0.032,0.027,0.021,0.023,.018,.017,0.017,0.026,.031,.035,0.044,0.042,.032,0.028,0.031*,.028,.014,.014,.02,.029,.033,.039,.046,.039,.03,.037,.03,.019,.018,.016,.023,0.029,0.025,0.041,0.042,0.044,.031,.03,.033,.024,.017,.017,.02,.026,.033,.036,.039,.041,0.022,.027,.029,.024,.015,.018,.021,.028,0.036,.036,0.048,.039,.029,.031,0.027,.025,.021,.019,.022,.027,.033,.043,.041,.04,.028,.021,.029,.028,.021,.018,.021,.028,.036,.045,.047,.048,.033,.03,.035,.031,.024,.022,.025,.036,.037,.042,.05,.04,.036,.029,.031,.03,.024,.021,0.0233,.028,.0397,.0434,.0432,.0466,.0296,.0323,.032,.0315,.0266,.0238,
대전광역시,월평균,,.011,0.019,0.027,0.034,0.05,0.041,0.033,0.026,0.026,0.019,.012,.012,0.011,0.021,.027,.029,0.04,0.041,.031,0.03,.026,.021,.011,.009,.014,.02,.025,.038,.048,.047,.032,.039,.03,.02,.012,.012,.024,0.023,0.021,0.043,0.047,0.05,.03,.025,.03,.021,.017,.015,.016,.023,.032,.039,.045,.046,0.028,.031,.027,.018,.011,.011,.013,.016,0.028,.03,0.045,.038,.028,.029,0.025,.02,.016,.013,.015,.019,.029,.038,.037,.048,.03,.022,.032,.025,.017,.015,.016,.027,.029,.04,.04,.043,.031,.033,.033,.024,.021,.018,.019,.03,.032,.042,.05,.041,.035,.027,.028,.023,.018,.015,0.0172,.0235,.0365,.0395,.0405,.0476,.0299,.0319,.0293,.0271,.024,.0199,
울산광역시,월평균,,.02,0.025,0.031,0.036,0.042,0.035,0.029,0.027,0.027,0.025,.018,.018,0.019,0.024,.029,.034,0.04,0.035,.027,0.034,.029,.026,.019,.016,.02,.026,.028,.035,.041,.034,.025,.033,.027,.023,.019,.018,.024,0.028,0.025,0.042,0.041,0.039,.031,.027,.032,.028,.022,.021,.023,.03,.033,.036,.035,.033,0.028,.023,.031,.027,.021,.021,.025,.03,0.039,.037,0.047,.038,.028,.029,0.027,.029,.023,.02,.025,.028,.035,.043,.041,.039,.028,.026,.034,.034,.024,.025,.026,.034,.037,.042,.041,.04,.027,.032,.033,.032,.028,.024,.027,.036,.039,.043,.051,.035,.03,.031,.034,.032,.029,.025,0.027,.0308,.0396,.0417,.0412,.0408,.0278,.0282,.0307,.0341,.0292,.0274,
세종특별자치시,월평균,,,,,,,,,,,,,,,,,,,,,,,,,,.018,.025,.03,.039,.047,.043,.029,.037,.027,.018,.014,.012,.027,0.025,0.024,0.042,0.047,0.052,.033,.027,.027,.02,.017,.014,.015,.022,.032,.04,.043,.046,0.029,.031,.027,.019,.011,.012,.014,.02,0.034,.036,0.051,.044,.031,.031,0.025,.021,.016,.013,.016,.021,.032,.042,.044,.05,.032,.023,.032,.024,.019,.016,.018,.03,.034,.045,.042,.047,.034,.033,.031,.024,.021,.017,.02,.032,.036,.047,.054,.044,.035,.026,.029,.023,.018,.016,0.018,.0229,.0372,.04,.0402,.0461,.0304,.0318,.0289,.0246,.0231,.0199,
수원,월평균,,.008,0.013,0.024,0.028,0.041,0.038,0.035,0.026,0.023,0.017,.011,.01,0.01,0.016,.022,.028,0.036,0.041,.03,0.031,.028,.017,.011,.008,.011,.016,.023,.031,.039,.04,.026,.032,.025,.015,.012,.008,.041,0.016,0.042,0.031,0.036,0.038,0.028*,.023,.025,.018,.014,.01,.012,.017,.026,.031,.037,.037,0.028,.031,.025,.017,.01,.01,.01,.015,0.025,.03,0.049,.044,.033,.036,0.024,.019,.012,.008,.011,.016,.024,.038,.039,.047,.033,.022,.031,.022,.015,.013,.014,.022,.027,.039,.041,.044,.039,.035,.032,.022,.018,.013,.014,.025,.028,.044,.05,.037,.037,.029,.03,.022,.016,.013,0.0156,.0198,.032,.0384,.0417,.0489,.0365,.0341,.0311,.0251,.0222,.0173,
